epoch,split,loss,acc,ce,kd
1,train,1.0841059684753418,0.3333333333333333,1.0741299390792847,0.03325342386960983
1,val,1.0751968622207642,1.0,1.0673458576202393,0.026170143857598305
2,train,1.0557669401168823,1.0,1.0471047163009644,0.028873974457383156
2,val,1.0803626775741577,1.0,1.0734500885009766,0.023042095825076103
